Id,eTag,Title,Subtitle,Author,Publisher,Published-Date,Description,ISBN_10,ISBN_13,PageCount,Categories,Language,Sale_Info,Saleability,isEBook,epub,pdf,Access_Info,Viewability,PublicDomain
WjZutwAACAAJ,hPMo+6qdkWU,Seeing Voices,A Journey Into the World of the Deaf,Oliver Sacks,Picador USA,2011-09,"Imaginative and insightful, Seeing Voices offers a way into a world that is, for many people, alien and unfamiliar - for to be profoundly deaf is not just to live in a world of silence, but also to live in a world where the visual is paramount. In this remarkable book, Oliver Sacks explores the consequences of this, including the different ways in which the deaf and the hearing learn to categorise their respective worlds - and how they convey and communicate those experiences to others.",0330523643,9780330523646,208,American Sign Language,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
rIi3sUb2f5cC,WztDFfeqGno,Exploring Feelings,Cognitive Behaviour Therapy to Manage Anxiety,Tony Attwood,Future Horizons,2004,"If you have difficulty understanding what you and those around you are feeling, as people with autism and Asperger's Syndrome often do, the world can be a confusing and frustrating place.",1932565221,9781932565225,132,Psychology,en,VN,NOT_FOR_SALE,False,False,True,VN,PARTIAL,False
Zj9DuQEACAAJ,6B0HTXbC7h8,The Stress Solution,"The 4 Steps to Reset Your Body, Mind, Relationships and Purpose",Rangan Chatterjee,Penguin Life,2019-01-08,"Dr. Rangan Chatterjee knows this better than anyone. As a practicing GP, he's seen first-hand how stress affects his patients and has found simple but effective methods to help them. Now he's on a mission to show that combatting stress is easier than you think. He packed with personal accounts and patient cases. This book will become your blueprint on how to live stress-free in the modern world.",0241317940,9780241317945,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
Iyi-uQAACAAJ,ZcsxYkVOtd4,The Healing Code,"6 Minutes to Heal the Source of Your Health, Success, or Relationship Issue",Alexander Loyd,Grand Central Life & Style,2013-09-10,"With over 1 million copies sold worldwide and translated into 29 languages, Dr. Alex Loyd's international bestselling book is a life-changing program that uses energy medicine to heal mental and physical challenges. THE HEALING CODE is your healing kit for life--to reover from the issues you know about, and repair the ones you don't. The book also includes: The Seven Secrets of life, health, and prosperity The 10-second Instant Impact technique for defusing daily stress The Heart Issues Finder, the only test that identifies your source issues in a succinct personalized report. Dr. Alex Loyd discovered how to activate a physical function built into the body that consistently and predictably removes the source of 95% of all illness and disease so that the neuro-immune system takes over its job of healing whatever is wrong with the body. His findings were validated by tests and by the thousands of people from all over the world who have used The Healing Code's system to heal virtually any physical, emotional, or relational issue, as well as realize breakthroughs in success. His testing also revealed that there is a ""Universal Healing Code"" that will heal most issues for most people. In this book you will get that Universal Healing Code, which takes only minutes to do.",1455502006,9781455502004,0,"Body, Mind & Spirit",en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
iOZFDwAAQBAJ,qPoBODiX6dQ,In Defense of Food,An Eater's Manifesto,Michael Pollan,Penguin,2009-04-28,"#1 New York Times Bestseller from the author of This is Your Mind on Plants, How to Change Your Mind, The Omnivore's Dilemma, and Food Rules Food. There's plenty of it around, and we all love to eat it. So why should anyone need to defend it? Because in the so-called Western diet, food has been replaced by nutrients, and common sense by confusion--most of what we’re consuming today is longer the product of nature but of food science. The result is what Michael Pollan calls the American Paradox: The more we worry about nutrition, the less healthy we see to become. With In Defense of Food, Pollan proposes a new (and very old) answer to the question of what we should eat that comes down to seven simple but liberating words: ""Eat food. Not too much. Mostly plants."" Pollan’s bracing and eloquent manifesto shows us how we can start making thoughtful food choices that will enrich our lives, enlarge our sense of what it means to be healthy, and bring pleasure back to eating.",0143114964,9780143114963,258,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
ESVNmAEACAAJ,ShuxUrgHb8U,Bad Pharma,How Medicine is Broken and how We Can Fix it,Ben Goldacre,,2013,"Following the bestselling 'Bad Science', which mercilessly exposed the evils of bogus, pseudo-scientific remedies, Ben Goldacre puts the global pharmaceutical industry under the microscope.",000749808X,9780007498086,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
SDRQtwEACAAJ,+yobPACWs24,"First Aid for the USMLE Step 1 2019, Twenty-ninth edition",,"Tao Le, Vikas Bhushan",McGraw-Hill Education / Medical,2018-12-21,"Publisher's Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product. EXCEL ON THE USMLE® STEP 1 WITH HELP FROM THE WORLD’S MOST POPULAR MEDICAL REVIEW BOOK! Trust the First AidTM team to help you score your highest on this high-stakes exam INSIDER ADVICE FOR STUDENTS FROM STUDENTS •A complete framework for USMLE® Step 1 preparation, annually updated with crowdsourced contributions from thousands of students•Written by students who excelled on their Step 1 exam and reviewed by top faculty for accuracy•1300+ must-know topics with mnemonics to focus your study•1,200+ color photos and illustrations --- 200 new or revised --- help you visualize processes, disorders, and clinical findings•Reorganized content in the Pathology, Endocrine, Hematology and Oncology, and Neurology chapters for more intuitive learning•Rapid Review section for efficient last-minute preparation•Acclaimed recommendations for high-yield print and digital study resources•Bonus material and real-time updates exclusively at FirstAidTeam.com",1260143678,9781260143676,0,Medical,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
Q_S4DAAAQBAJ,yT8BhmrRlqc,The Vaccine-Friendly Plan,Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years,"Paul Thomas, M.D., Jennifer Margulis, Ph.D.",Ballantine Books,2016-08-23,"An accessible and reassuring guide to childhood health and immunity from a pediatrician who’s both knowledgeable about the latest scientific research and respectful of a family’s risk factors, health history, and concerns In The Vaccine-Friendly Plan, Paul Thomas, M.D., presents his proven approach to building immunity: a new protocol that limits a child’s exposure to aluminum, mercury, and other neurotoxins while building overall good health. Based on the results from his pediatric practice of more than eleven thousand children, as well as data from other credible and scientifically minded medical doctors, Dr. Paul’s vaccine-friendly protocol gives readers • recommendations for a healthy pregnancy and childbirth • vital information about what to expect at every well child visit from birth through adolescence • a slower, evidence-based vaccine schedule that calls for only one aluminum-containing shot at a time • important questions to ask about your child’s first few weeks, first years, and beyond • advice about how to talk to health care providers when you have concerns • the risks associated with opting out of vaccinations • a practical approach to common illnesses throughout the school years • simple tips and tricks for healthy eating and toxin-free living at any age The Vaccine-Friendly Plan presents a new standard for pediatric care, giving parents peace of mind in raising happy, healthy children. Praise for The Vaccine-Friendly Plan “Finally, a book about vaccines that respects parents! If you choose only one book to read on the topic, read The Vaccine-Friendly Plan. This impeccably researched, well-balanced book puts you in the driver’s seat and empowers you to make conscientious vaccine decisions for your family.”—Peggy O’Mara, editor and publisher, Mothering Magazine “Sure to appeal to readers of all kinds as a friendly, no-nonsense book that cuts through the rhetoric surrounding vaccines. It offers validation to those who avoid some or all, while offering those who do want to vaccinate help on how to do so safely. This is a great book for anyone with children in their lives.”—Natural Mother “A valuable, science-supported guide to optimizing your child’s health while you navigate through complex choices in a toxic, challenging world.”—Martha Herbert, M.D., Ph.D., Harvard Medical School “An impressively researched guide, this important book is essential reading for parents. With clear and practical advice for shielding children from harmful toxins, it will compel us all to think differently about how to protect health.”—Jay Gordon, M.D., FAAP “Rather than a one-size-fits-all vaccine strategy, the authors suggest thoughtful, individualized decisions based on research and collaboration between parents and clinicians—a plan to optimize a child’s immune system and minimize any risks.”—Elizabeth Mumper, M.D., founder and CEO, The Rimland Center for Integrative Pediatrics “This well-written and thought-provoking book will encourage parents to think through decisions—such as food choices and the timing of vaccines—that affect the well-being of their children. In a world where children’s immune systems are increasingly challenged, this is a timely addition to the literature.”—Harriet Lerner, Ph.D., bestselling author of The Dance of Anger and The Mother Dance",1101884231,9781101884232,449,Medical,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
0CxvQgAACAAJ,D3FZD7i5Y24,Bartram's Encyclopedia of Herbal Medicine,,Thomas Bartram,Constable,1998,From a legend in the field comes a masterful and authoritative guide to the nature and use of herbal medicine. Includes 900+ entries arranged in an easy-to-browse alphabetical format.,1854875868,9781854875860,0,"Botany, Medical",en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
wNnaNwAACAAJ,yEPT6zqUrHs,Stop the Thyroid Madness,A Patient Revolution Against Decades of Inferior Thyroid Treatment,Janie A. Bowthorpe,,2011,"With even more pages, a new chapter on foods and supplements, and additions throughout the entire book, this informative bible of thyroid treatment, as successfully experienced by patients worldwide, strives to educate the reader and create needed change.",0615477127,9780615477121,0,Adrenal glands,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
rWNTtAEACAAJ,SGak5f26bTE,Post-Natal Depletion Cure,,DR OSCAR. SERRALLACH,Sphere,2018-06-05,"It's all too common to hear new mums talk about 'baby brain' and extreme fatigue. But what if it wasn't the physical toll of giving birth, breastfeeding or chasing a toddler that was sapping your strength? What it if was something deeper? Dr. Oscar Serallach has spent his medical career witnessing women fail hormonally, nutritionally and emotionally to get back on their feet after having a baby. The true cause? A syndrome he calls postnatal depletion. THE POSTNATAL DEPLETION CURE is the first book to name the syndrome and to offer a practical programme to help mothers replenish their bodies after having a baby. The book includes a comprehensive guide to the nutrients women need to enhance organ function and balance hormones, along with advice on how to maintain a healthy diet and exercise routine and get necessary rest, despite the demands of motherhood. Filled with prescriptive takeaways and many success stories, THE POSTNATAL DEPLETION CURE will help mothers be the best they can be physically and emotionally.",0751573388,9780751573381,304,,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
inNHAAAAMAAJ,Uza4LVRjX0w,Existential Psychotherapy,,Irvin D. Yalom,,1980-12-08,"Describes the approach of a therapy focusing on the patient's concern with death, freedom, isolation, and meaninglessness.",,,544,PHILOSOPHY,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
GHcIkAEACAAJ,/VhVUGFmFks,An Introduction to Cognitive Behaviour Therapy,Skills and Applications,"Helen Kennerley, Joan Kirk, David Westbrook",Sage Publications Limited,2016-11-30,"Fully updated to reflect recent developments in CBT theory and featuring over 40 video role plays, illustrating scenarios in practice from physical techniques to wider applications of CBT, including for eating disorders, substance abuse and self-harm.",1473962587,9781473962583,512,,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
vxUiAQAAIAAJ,HCU47635IYg,The Secret of Childhood,,Maria Montessori,Ballantine Books,1972,"Before anything else, this book is a description of the child, seen with the exactness of a scientist and the empathy of a warm heart. From this understanding grew the way of teaching based on collaborating with the needs and powers of a child and the removing of obstacles to this growth that has come to be known as the Montessori Method.",,,256,Education,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
DdFNswEACAAJ,D8Pvl6ZHjJQ,The Doctor's Kitchen,,Rupy Aujla,HarperThorsons,2017-12-18,"'I'm just a straight-talking NHS doctor lending my unbiased opinion on healthy eating and showing everybody how to get phenomenal ingredients on their plates everyday.' Dr Rupy Aujla's first cookbook, The Doctor's Kitchen, is the go-to book to help you kick unhealthy faddy diets for good. In the book, Rupy, explains the principles of healthy living in a fun and relatable way with over 100 vibrant, tasty recipes steeped in medical science which are easy and inexpensive to make. The impact of lifestyle on illness has never been higher on the national agenda and Rupy believes that what we choose to put on our plates is the most important health intervention we can make. The Doctor's Kitchen stands out from the crowd by using medical knowledge to create the recipes. Rupy advocates Plates over Pills every time and he is living proof that what you eat can shift medical outcomes as he overhauled his own heart condition by addressing his diet and creating his own delicious food that he now shares in this book. Infused with flavours from around the world, this tasty selection of everyday meals makes healthy eating an absolute pleasure.",0008239339,9780008239336,272,Cooking (Natural foods),en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
mbjANAEACAAJ,V1iO3yxW8Jk,The Thriving Adolescent,"Using Acceptance and Commitment Therapy and Positive Psychology to Help Teens Manage Emotions, Achieve Goals, and Build Connection","Louise L. Hayes, Joseph Ciarrochi",Context Press,2015,"The Thriving Adolescent offers teachers, counselors, and mental health professionals powerful techniques for working with adolescents. Based in proven-effective acceptance and commitment therapy (ACT), the skills and tips outlined in this book will help adolescents and teens manage difficult emotions, connect with their values, achieve mindfulness and vitality, and develop positive relationships with friends and family. This is the first book to apply ACT to treating this population.",1608828026,9781608828029,0,EDUCATION,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
RaweNAAACAAJ,KlNFLilXwyk,What to Do when Bad Habits Take Hold,A Kid's Guide to Overcoming Nail Biting and More,Dawn Huebner,Magination Press,2008-09,"Nail biting. Thumb sucking. Hair twirling. Scab picking. Shirt chewing. Do you have a habit that's hard to stop? A habit that embarrasses you or gets you in trouble? If so, you're not alone. Lots of kids have habits they wish they could lose. But habits are stronger than wishes. They lock on, holding you tight. Even if you want to break free, you can't. Unless you have the keys.""""What to Do When Bad Habits Take Hold"""" guides children and their parents through the cognitive-behavioral techniques used to treat a variety of habits. Engaging examples, lively illustrations, and step-by-step instructions teach children a set of habit-busting strategies in the form of 'keys' to unlock the chains holding their habits in place. This interactive self-help book is the complete resource for empowering children to set themselves free.",1433803836,9781433803833,0,Psychology,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
M-sB2O7WZaEC,3hRY5cFkOVE,Birthing from Within,An Extra-ordinary Guide to Childbirth Preparation,"Pam England, Rob Horowitz",,1998,"Here is a holistic approach to childbirth that examines this profound rite-of-passage not as a medical event but as an act of self-discovery. Exercises and activities such as journal writing, meditation, and painting will help mothers analyze their thoughts and face their fears during pregnancy. For use during birth, the book offers proven techniques for coping with labor pain without drugs, a discussion of the doctor or midwife's role, and a look at the father's responsibilities. Childbirth education should also include what to expect after the baby is born. Here are baby basics, such as how to bathe a newborn, how to get the little one to sleep, and tips for getting nursing off to a good start. Pregnancy, birth, and postpartum is a process of continuous learning and adjustment; Birthing From Within provides the necessary support and education to make each phase of birthing a rewarding experience.",0965987302,9780965987301,340,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
zQw7AAAAQBAJ,/xXIbrHE8eY,The Miracle Ball Method,"Relieve Your Pain, Reshape Your Body, Reduce Your Stress",Elaine Petrone,Workman Publishing,2003-12-10,"Pain relief from head to toe. The Miracle Ball Method is a proven, effective healing kit, including two balls and a fully illustrated book of exercises and techniques for pain and stress relief. The Method. This revolutionary program uses controlled breathing, two squishy balls, and simple exercises of rolling and rotating to heal everything from a bad knee to a stressed-out back. The key is to let gravity do all the work. The Balls. Take two—they're small. Made out of a durable, yielding, nontoxic PVC, the balls are sized to tuck under strategic parts of your body, including back, neck, head, knees, hip, and elbow. Like magnets, they draw out pain and tension. Elaine Petrone. After suffering a career-ending, potentially crippling injury to her back and right leg, a young dancer named Elaine Petrone turned to everyone from orthopedists to yogis to heal her injuries. Nothing worked—until she developed her own program of therapy. Elaine's simple program and the classes she teaches in the Miracle Ball Method have helped thousands of people conquer pain, stress, and injury.",0761128689,9780761128687,290,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
ZTraCwAAQBAJ,YbHQWsXeS1s,Wreck This Journal (Red) Expanded Edition,,Keri Smith,Penguin Books,2012-08-07,"For anyone who's ever had trouble starting, keeping, or finishing a journal or sketchbook comes this expanded edition of Wreck This Journal, an illustrated book that features a subversive collection of prompts, asking readers to muster up their best mistake and mess-making abilities and to fill the pages of the book (or destroy them).",0399162720,9780399162725,226,Crafts & Hobbies,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
0-XJtAEACAAJ,T7zCghzmZPE,"Essentials of Human Anatomy & Physiology, Global Edition",,"Elaine N. Marieb, Suzanne M. Keller",Pearson Higher Education,2017-09-12,"For one-semester Anatomy & Physiology courses. Focus on the essential what, how, & why of human anatomy & physiology With the 12th Edition of Essentials of Human Anatomy & Physiology, science educator Suzanne Keller joins bestselling author Elaine Marieb in helping learners focus on the essential What, How, & Why of A&P, without getting sidetracked in unnecessary details. Thoroughly updated with dozens of new figures, photos, and current information on medical recommendations and terminology, the 12th Edition continues to set the standard for brief, accessible one-semester A&P texts. The authors' hallmark clear and friendly writing style has been strengthened with familiar analogies and abundant mnemonic cues that help students learn and remember concepts. Continuing to offer just the right balance of anatomy, physiology, and clinical coverage, engaging new chapter previews help learners hone in on what structures and functions they are studying, how they function, and why they are important to learn. Mastering(tm) A&P not included. Students, if Mastering A&P is a recommended/mandatory component of the course, please ask your instructor for the correct ISBN and course ID. Mastering A&P should only be purchased when required by an instructor. Instructors, contact your Pearson rep for more information. Mastering A&P is an online homework, tutorial, and assessment program designed to engage students and improve results. Instructors ensure that students arrive ready to learn by assigning educationally effective content before class, and encourage critical thinking and retention with in-class resources such as Learning Catalytics(tm). Students can further master concepts after class through assignments that provide hints and answer-specific feedback. With a wide range of activities available, students can actively learn, understand, and retain even the most difficult concepts.",1292216115,9781292216119,656,Human anatomy,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
VzvPtAEACAAJ,ud+iIeiHBJE,With the End in Mind,How to Live and Die Well,Kathryn Mannix,William Collins,2019-02-05,"""What colour is cancer?Why do some people appear to have made miraculous recoveries?How can you tell when someone is in the final hours of their life?How can we ensure our most vulnerable are treated with the dignity they deserve? In this unprecedented book, palliative medicine pioneer Kathryn Mannix explores the biggest taboo in our society and only certainty we all share: death. Told through a series of powerful stories, taken from her clinical practice, her book sends an urgent message to the living which answers the most intimate and fascinating questions about the end-of-life process with touching honesty and humanity.With the End in Mind is a book for all of us: the grieving and bereaved, ill, and healthy. Mannix rationalizes and explains what happens at the end of our lives, and argues that with planning, honesty and information death doesn't have to be either painful or terrifying. With at-times funny, poignant and always wise storytelling about how people die, Mannix has written a book of immense power and importance.""--Publisher's description.",0008210918,9780008210915,352,Biography & Autobiography,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
WlvYngEACAAJ,L/BHjJr6BEw,Dissolving Illusions,"Disease, Vaccines and the Forgotten History","Suzanne Humphries, Roman Bystrianyk",Createspace Independent Publishing Platform,2013,"Starting in the mid-1800s, there was a steady drop in deaths from all infectious diseases, decreasing to relatively minor levels by the early 1900s. The history of that transformation involves famine, poverty, filth, lost cures, eugenicist doctrine, individual freedoms versus state might, protests and arrests over vaccine refusal, and much more. But the authors shows that vaccines, antibiotics, and other medical interventions are not responsible for the increase in lifespan and the decline in mortality from infectious diseases.",1480216895,9781480216891,0,Communicable diseases,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
Huw5swEACAAJ,BrimGg6NTDc,Gut,The Inside Story of Our Body's Most Under-rated Organ,Giulia Enders,FABER CHILDREN'S BOOKS,2017,"A Sunday Timesbestseller -- now with revised and expanded content on the exciting new science about the gut-brain link. Our gut is as important as our brain or heart, yet we know very little about how it works and many of us are too embarrassed to ask questions. In Gut, Giulia Enders breaks this taboo, revealing the latest science on how much our digestive system has to offer. From our miraculous gut bacteria -- which can play a part in obesity, allergies, depression and even Alzheimer's -- to the best position to poo, this entertaining and informative health handbook shows that we can all benefit from getting to know the wondrous world of our inner workings.",1911344773,9781911344773,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
bF2duQEACAAJ,8DG6UeSsr2U,The Longevity Paradox,How to Die Young at a Ripe Old Age,"Dr. Steven R. Gundry, M.D.",Harper Wave,2019-03-19,"From the author of the New York Times bestseller The Plant Paradox comes a groundbreaking plan for living a long, healthy, happy life. From the moment we are born, our cells begin to age. But aging does not have to mean decline. World-renowned surgeon Dr. Steven Gundry has been treating mature patients for most of his career. He knows that everyone thinks they want to live forever, until they hit middle age and witness the suffering of their parents and even their peers. So how do we solve the paradox of wanting to live to a ripe old age—but enjoy the benefits of youth? This groundbreaking book holds the answer. Working with thousands of patients, Dr. Gundry has discovered that the “diseases of aging” we most fear are not simply a function of age; rather, they are a byproduct of the way we have lived over the decades. In The Longevity Paradox, he maps out a new approach to aging well—one that is based on supporting the health of the “oldest” parts of us: the microorganisms that live within our bodies. Our gut bugs—the bacteria that make up the microbiome—largely determine our health over the years. From diseases like cancer and Alzheimer’s to common ailments like arthritis to our weight and the appearance of our skin, these bugs are in the driver’s seat, controlling our quality of life as we age. The good news is, it’s never too late to support these microbes and give them what they need to help them—and you—thrive. In The Longevity Paradox, Dr. Gundry outlines a nutrition and lifestyle plan to support gut health and live well for decades to come. A progressive take on the new science of aging, The Longevity Paradox offers an action plan to prevent and reverse disease as well as simple hacks to help anyone look and feel younger and more vital.",0062843397,9780062843395,384,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
bpuDeDqVyFUC,ImqB0VA9aCw,Healing Developmental Trauma,"How Early Trauma Affects Self-Regulation, Self-Image, and the Capacity for Relationship","Laurence Heller, Ph.D., Aline LaPierre, Psy.D.",North Atlantic Books,2012-09-25,"This “well-organized, valuable” guide draws from somatic-based psychotherapy and neuroscience to offer “clear guidance” for coping with childhood trauma (Peter Levine, author of Waking the Tiger and In an Unspoken Voice). Although it may seem that people suffer from an endless number of emotional problems and challenges, Laurence Heller and Aline LaPierre maintain that most of these can be traced to five biologically based organizing principles: the need for connection, attunement, trust, autonomy, and love-sexuality. They describe how early trauma impairs the capacity for connection to self and others and how the ensuing diminished aliveness is the hidden dimension that underlies most psychological and many physiological problems. Heller and LaPierre introduce the NeuroAffective Relational Model® (NARM), a method that integrates bottom-up and top-down approaches to regulate the nervous system and resolve distortions of identity such as low self-esteem, shame, and chronic self-judgment that are the outcome of developmental and relational trauma. While not ignoring a person’s past, NARM emphasizes working in the present moment to focus on clients’ strengths, resources, and resiliency in order to integrate the experience of connection that sustains our physiology, psychology, and capacity for relationship.",1583944893,9781583944899,321,Psychology,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
OlAt2LJLkZIC,TVPrCU3htsw,Contented Dementia,,Oliver James,Random House,2009,"Provides an approach to promoting well-being in dementia care, and includes making sense of dementia, wraparound care, and planning for the future.",0091901812,9780091901813,305,Dementia,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
0y9FBQAAQBAJ,QaK7PfVJGlg,DBT? Skills Manual for Adolescents,,"Jill H. Rathus, Alec L. Miller",Guilford Publications,2014-11-20,"""Dialectical behavior therapy has revolutionized cognitive behavioral therapies with constructs such as mindfulness and acceptance now permeating behavioral approaches. Adolescents differ from adult clients with regard to emotional and cognitive developmental level and context: they overwhelmingly attend school, and reside with their families and depend on them for daily functioning, including for getting to therapy. Thus, we considered developmentally relevant as well as family-based targets, cognitive processing and capability differences, distinct liability issues, and interventions with their environments. Our adapted adolescent skills handouts are being used in multiple research settings; many clinical settings around the world employ some version of our materials. The publication of this manual makes them more widely available along with group management strategies and skills teaching notes to assist the DBT skills trainer working with adolescents""--",1462515355,9781462515356,409,Psychology,en,VN,NOT_FOR_SALE,False,False,False,VN,PARTIAL,False
5e5PvgAACAAJ,4B3mnAS5vzk,The Mind-Gut Connection,"How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health",Emeran Mayer,Harper Wave,2018-06-05,"Combining cutting-edge neuroscience with the latest discoveries on the human microbiome, a practical guide in the tradition of Wheat Belly and Grain Brain that conclusively demonstrates the inextricable, biological link between mind and body. We have all experienced the connection between our mind and our gut—the decision we made because it “felt right”; the butterflies in our stomach before a big meeting; the anxious stomach rumbling when we’re stressed out. While the dialogue between the gut and the brain has been recognized by ancient healing traditions, including Ayurvedic and Chinese medicine, Western medicine has failed to appreciate the complexity of how the brain, gut, and more recently, the microbiome—the microorganisms that live inside us—communicate with one another. In The Mind-Gut Connection, Dr. Emeran Mayer, executive director of the UCLA Center for Neurobiology of Stress, offers a revolutionary look at this developing science, teaching us how to harness the power of the mind-gut connection to take charge of our health. The Mind-Gut Connection shows how to keep the brain-gut communication clear and balanced to: • heal the gut by focusing on a plant-based diet • balance the microbiome by consuming fermented foods and probiotics, fasting, and cutting out sugar and processed foods • promote weight loss by detoxifying and creating healthy digestion and maximum nutrient absorption • boost immunity and prevent the onset of neurological diseases such as Parkinson’s and Alzheimer’s • generate a happier mindset and reduce fatigue, moodiness, anxiety, and depression • prevent and heal GI disorders such as leaky gut syndrome, food sensitivities and allergies, and IBS, as well as digestive discomfort such as heartburn and bloating • and much more.",0062376586,9780062376589,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
q58cONL-u4YC,jd3euV3RyCY,Easy Way for Women to Stop Smoking,,Allen Carr,Arcturus Publishing,2009,"Using a version of Alan Carr's revolutionary Easyway Method created expressly for women, Cesati focuses on issues such as weight gain, increased stress, and smoking during pregnancy--making this the perfect gift for any woman who lights up and wants to stop.",184837464X,9781848374645,241,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,True,VN,PARTIAL,False
Fb5mQgAACAAJ,Ab1SZeQjdN0,Dibs,In Search of Self : Personality Development in Play Therapy,Virginia Mae Axline,Gardners Books,1990,"This is the story of a little boy named Dibs. He would not talk. He would not play. Judged mentally defective, he was oblivious both to other children and to his teacher; in reality he was a brilliant, lonely child trapped in a prison of fear and rage, a prison from which only he could release himself. And, through psychotherapy and love, he did. December Monday 20 Dibs is the only real person I ever met in the classroom who could teach me what it means to be a complete person.",014013459X,9780140134599,197,Education,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
IkGTEAAAQBAJ,ujK7XbTBtoM,The Discovery of the Child,,Maria Montessori,Ballantine Books,1986-05-12,"Maria Montessori went beyond the conventions of the day to seek a new way of knowing and loving a child. In THE DISCOVERY OF THE CHILD, she describes the nature of the child and her method of working more fully with the child's urge to learn. With 16 pages of photographs.",0345336569,9780345336569,0,Psychology,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
5NnNoAEACAAJ,EMdP/ToYZrM,Why Love Matters,How Affection Shapes a Baby's Brain,Sue Gerhardt,,2015,This new edition succinctly incorporates research from the last decade and adds a new chapter on pre-natal research.,0415870534,9780415870535,0,FAMILY & RELATIONSHIPS,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
SOvxzQEACAAJ,d/EKg20C63g,All That Remains,A Life in Death,Sue Black,"Black Swan Books, Limited",2019,"""Sue Black confronts death every day. As Professor of Anatomy and Forensic Anthropology, she focuses on mortal remains in her lab, at burial sites, at scenes of violence, murder and criminal dismemberment, and when investigating mass fatalities due to war, accident or natural disaster. In All That Remains she reveals the many faces of death she has come to know, using key cases to explore how forensic science has developed, and what her work has taught her. Do we expect a book about death to be sad? Macabre? Sue's book is neither. There is tragedy, but there is also humour in stories as gripping as the best crime novel. Our own death will remain a great unknown. But as an expert witness from the final frontier, Sue Black is the wisest, most reassuring, most compelling of guides.""--Amazon.com.",1784162817,9781784162818,0,Biography & Autobiography,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
tZ-MEAAAQBAJ,iycZUo6Igq4,The Omnivore's Dilemma,A Natural History of Four Meals,Michael Pollan,National Geographic Books,2007-08-28,"""Outstanding . . . a wide-ranging invitation to think through the moral ramifications of our eating habits."" —The New Yorker One of the New York Times Book Review's Ten Best Books of the Year and Winner of the James Beard Award Author of How to Change Your Mind and the #1 New York Times Bestseller In Defense of Food and Food Rules What should we have for dinner? Ten years ago, Michael Pollan confronted us with this seemingly simple question and, with The Omnivore’s Dilemma, his brilliant and eye-opening exploration of our food choices, demonstrated that how we answer it today may determine not only our health but our survival as a species. In the years since, Pollan’s revolutionary examination has changed the way Americans think about food. Bringing wide attention to the little-known but vitally important dimensions of food and agriculture in America, Pollan launched a national conversation about what we eat and the profound consequences that even the simplest everyday food choices have on both ourselves and the natural world. Ten years later, The Omnivore’s Dilemma continues to transform the way Americans think about the politics, perils, and pleasures of eating.",0143038583,9780143038580,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
